# omega0=0.689, alpha=0.2
# theta0=0.4, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
6.572266547002032e+01 8.507523953279208e-01 6.089430482572790e-01
6.581385829015362e+01 9.044859296086276e-01 5.692042835835324e-01
6.590505111028692e+01 9.545132992635785e-01 5.276958124633437e-01
6.599624393042022e+01 1.000682440343918e+00 4.846200979540434e-01
6.608743675055352e+01 1.042859199114053e+00 4.401672903294023e-01
6.617862957068682e+01 1.080926168965942e+00 3.945144572472112e-01
6.626982239082012e+01 1.114781487002677e+00 3.478254575549943e-01
6.636101521095343e+01 1.144337645658480e+00 3.002513840171711e-01
6.645220803108673e+01 1.169520367536030e+00 2.519314931259866e-01
6.654340085122003e+01 1.190267584071930e+00 2.029945386162728e-01
6.663459367135333e+01 1.206528551128084e+00 1.535604278463737e-01
6.672578649148663e+01 1.218263127455164e+00 1.037421253532981e-01
6.681697931161993e+01 1.225441235358657e+00 5.364773428785158e-02
6.690817213175323e+01 1.228042516878243e+00 3.382692934486605e-03
6.699936495188653e+01 1.226056193333058e+00 -4.694797079346464e-02
6.709055777201984e+01 1.219481131082469e+00 -9.723737978599045e-02
6.718175059215314e+01 1.208326111648204e+00 -1.473745936916075e-01
6.727294341228644e+01 1.192610299756151e+00 -1.972424907621612e-01
6.736413623241974e+01 1.172363898195890e+00 -2.467157977451572e-01
6.745532905255304e+01 1.147628973490698e+00 -2.956593234981921e-01
6.754652187268634e+01 1.118460431085460e+00 -3.439264567061737e-01
6.763771469281964e+01 1.084927113019932e+00 -3.913579931985304e-01
6.772890751295294e+01 1.047112984867255e+00 -4.377813628739797e-01
6.782010033308624e+01 1.005118372192418e+00 -4.830103289149564e-01
6.791129315321955e+01 9.590612001523470e-01 -5.268452314236886e-01
6.800248597335285e+01 9.090781834787719e-01 -5.690738423837549e-01
6.809367879348615e+01 8.553259084475074e-01 -6.094728875692473e-01
6.818487161361945e+01 7.979817441487924e-01 -6.478102725815217e-01
6.827606443375275e+01 7.372445181181764e-01 -6.838480239816739e-01
6.836725725388605e+01 6.733348918753205e-01 -7.173459226365440e-01
6.845845007401935e+01 6.064953758037880e-01 -7.480657659971175e-01
6.854964289415265e+01 5.369899305943732e-01 -7.757761512715398e-01
6.864083571428596e+01 4.651031144226446e-01 -8.002576256429531e-01
6.873202853441926e+01 3.911387510468944e-01 -8.213080070596882e-01
6.882322135455256e+01 3.154181135877145e-01 -8.387476445042923e-01
6.891441417468586e+01 2.382776409332786e-01 -8.524243648419452e-01
6.900560699481916e+01 1.600662271406426e-01 -8.622178484747296e-01
6.909679981495246e+01 8.114214719252950e-02 -8.680431907845764e-01
6.918799263508576e+01 1.869703183113951e-03 -8.698534414078695e-01
6.927918545521906e+01 -7.738430834720209e-02 -8.676409670449962e-01
6.937037827535237e+01 -1.562541961566684e-01 -8.614375516971521e-01
6.946157109548567e+01 -2.343789249615233e-01 -8.513132249111357e-01
6.955276391561897e+01 -3.114055035594826e-01 -8.373738865768374e-01
6.964395673575227e+01 -3.869921065658166e-01 -8.197578686315056e-01
6.973514955588557e+01 -4.608108415206030e-01 -7.986316330729941e-01
6.982634237601887e+01 -5.325500933443119e-01 -7.741848470654696e-01
6.991753519615217e+01 -6.019164011960686e-01 -7.466250969991413e-01
7.000872801628547e+01 -6.686358468462287e-01 -7.161725039483159e-01
7.009992083641878e+01 -7.324549569208418e-01 -6.830544850962795e-01
7.019111365655208e+01 -7.931411422870526e-01 -6.475008731032066e-01
7.028230647668538e+01 -8.504827152950980e-01 -6.097395628308034e-01
7.037349929681868e+01 -9.042885388944102e-01 -5.699928073217239e-01
7.046469211695198e+01 -9.543873705634832e-01 -5.284742371093868e-01
7.055588493708528e+01 -1.000626968688960e+00 -4.853866326142756e-01
7.064707775721858e+01 -1.042873029950871e+00 -4.409204412809292e-01
7.073827057735188e+01 -1.081008024064832e+00 -3.952530007857156e-01
7.082946339748518e+01 -1.114929987637865e+00 -3.485484076011262e-01
7.092065621761849e+01 -1.144551332656677e+00 -3.009579560800038e-01
7.101184903775179e+01 -1.169797717927532e+00 -2.526210660498291e-01
7.110304185788509e+01 -1.190607024199699e+00 -2.036666153397955e-01
7.119423467801839e+01 -1.206928466173149e+00 -1.542145962032891e-01
7.128542749815169e+01 -1.218721867421957e+00 -1.043780197592768e-01
7.137662031828499e+01 -1.225957117633523e+00 -5.426499900132599e-02
7.146781313841829e+01 -1.228613825531230e+00 -3.980947457052440e-03
7.155900595855159e+01 -1.226681175380581e+00 4.636916369482868e-02
7.165019877868490e+01 -1.220157989970054e+00 9.667854299790940e-02
7.174139159881820e+01 -1.209052998251688e+00 1.468363611877476e-01
7.183258441895150e+01 -1.193385301239264e+00 1.967256291053875e-01
7.192377723908480e+01 -1.173185025104519e+00 2.462212231726871e-01
7.201497005921810e+01 -1.148494145510689e+00 2.951881140533603e-01
7.210616287935140e+01 -1.119367461942032e+00 3.434798588314918e-01
7.219735569948470e+01 -1.085873695051828e+00 3.909374221717208e-01
7.228854851961800e+01 -1.048096673865516e+00 4.373883964671497e-01
7.237974133975131e+01 -1.006136573148517e+00 4.826466937032008e-01
7.247093415988461e+01 -9.601111546082742e-01 5.265127812786393e-01
7.256212698001791e+01 -9.101569592062024e-01 5.687745288730006e-01
7.265331980015121e+01 -8.564303921969729e-01 6.092087222525649e-01
7.274451262028451e+01 -7.991086381950117e-01 6.475832815507832e-01
7.283570544041781e+01 -7.383903412768350e-01 6.836601954247359e-01
7.292689826055111e+01 -6.744959855733788e-01 7.171991486963617e-01
7.301809108068441e+01 -6.076679156459838e-01 7.479617807130968e-01
7.310928390081772e+01 -5.381699436826607e-01 7.757164668862567e-01
7.320047672095102e+01 -4.662865024570426e-01 8.002434699804583e-01
7.329166954108432e+01 -3.923213189748658e-01 8.213402649746313e-01
7.338286236121762e+01 -3.165956032891201e-01 8.388268065107541e-01
7.347405518135092e+01 -2.394457691478595e-01 8.525504859159677e-01
7.356524800148422e+01 -1.612207265864913e-01 8.623905196644088e-01
7.365644082161752e+01 -8.227880960942704e-02 8.682615256623004e-01
7.374763364175082e+01 -2.984422884328061e-03 8.701160785965776e-01
7.383882646188412e+01 7.629549190118289e-02 8.679460891077007e-01
7.393001928201743e+01 1.551950582299289e-01 8.617829196809582e-01
7.402121210215073e+01 2.333530192185023e-01 8.516962268784152e-01
7.411240492228403e+01 3.104161307121159e-01 8.377915976290476e-01
7.420359774241733e+01 3.860422889018790e-01 8.202071193117437e-01
7.429479056255063e+01 4.599033039205757e-01 7.991090826722052e-01
7.438598338268393e+01 5.316872510712628e-01 7.746870582730934e-01
7.447717620281723e+01 6.011003544247663e-01 7.471486085186447e-01
7.456836902295053e+01 6.678683816063973e-01 7.167138981007486e-01
7.465956184308384e+01 7.317375518828038e-01 6.836104480006612e-01
7.475075466321714e+01 7.924749806277478e-01 6.480682456819552e-01
7.484194748335044e+01 8.498687007539780e-01 6.103153815729099e-01
7.493314030348374e+01 9.037273150614652e-01 5.705743343861196e-01
7.502433312361704e+01 9.538793424302836e-01 5.290589799202349e-01
7.511552594375034e+01 1.000172325529294e+00 4.859723535595737e-01
7.520671876388364e+01 1.042471768669631e+00 4.415051584629557e-01
7.529791158401694e+01 1.080659972251022e+00 3.958349809875704e-01
7.538910440415025e+01 1.114634825669393e+00 3.491261527396053e-01
7.548029722428355e+01 1.144308614321691e+00 3.015301844298264e-01
7.557149004441685e+01 1.169606889142231e+00 2.531866894696225e-01
7.566268286455015e+01 1.190467439510354e+00 2.042247136285255e-01
7.575387568468345e+01 1.206839402827310e+00 1.547643895875848e-01
7.584506850481675e+01 1.218682536878798e+00 1.049188403750177e-01
7.593626132495005e+01 1.225966674455921e+00 5.479626210101587e-02
7.602745414508335e+01 1.228671373663430e+00 4.502122958280213e-03
7.611864696521666e+01 1.226785771866947e+00 -4.585857879826053e-02
7.620983978534996e+01 1.220308646214699e+00 -9.617905090809453e-02
7.630103260548326e+01 1.209248678958119e+00 -1.463484878442124e-01
7.639222542561656e+01 1.193624921206103e+00 -1.962499465967754e-01
7.648341824574986e+01 1.173467444089934e+00 -2.457583696117038e-01
7.657461106588316e+01 1.148818161416301e+00 -2.947388104839695e-01
7.666580388601646e+01 1.119731802607822e+00 -3.430449227042010e-01
7.675699670614976e+01 1.086277008997467e+00 -3.905177768898945e-01
